;MPP;;;;NCS;;;TRYKNET;VISIOLINK;;;
1. udg.;Produkt;Edition;Sektion;Avis;Kategori;Kanal;Kanalnavn NCS;Filnavn til tryk;Filnavn til E-Paper;FTP-mappe;Kommentar;Asura Inksave
;;;;;;;;;;;;
02.11.16;FST;E1;A - I;Fyens Stiftstidende;FST 1. - 9. sektion;FST;Fyens Stiftstidende;FSTJFM0T3006161111005.pdf;FSTJFMET3006161111005.pdf;FST;;JA
;F22;;;Tillæg Fyens Stiftstidende   ;;;;;;;;
;F44;;;Trimmet Tillæg Fyens Stiftstidende;;;;;;;;
;;;;;;;;;;;;
02.11.16;FAA;E1;A - I;Fyns Amtsavis;FAA 1. - 9. sektion;FAA;Fyns Amts Avis;FAAJFM0T2906161111023.pdf;FAAJFMET2906161111023.pdf;FAA;;JA
;A22;;;Tillæg Fyns Amtsavis;;;;;;;;
;A44;;;Trimmet tillæg Fyns Amts Avis;;;;;;;;
;;;;;;;;;;;;
02.11.16;XRE;E1;A;Rejser FM (Master);FST 5. sektion;ARE;;FSRJFM0T290616A111028.pdf;Som i dag;;;JA
02.11.16;XRE;E2;A;Rejser JM;FST 5. sektion;BRE;;FSRJFM0T290616B111028.pdf;Som i dag;;;JA
02.11.16;XRE;E3;A;Rejser SDM;FST 5. sektion;CRE;;FSRJFM0T290616C111028.pdf;Som i dag;;;JA
02.11.16;XRE;E4;A;Rejser MJM;FST 5. sektion;DRE;;FSRJFM0T290616D111028.pdf;Som i dag;;;JA
02.11.16;XRE;E5;A;Rejser eavis (ikke til tryk);FST 5. sektion;ERE;;;FSRJFM0T290616E111028.pdf;FSR;;
;;;;;;;;;;;;
02.11.16;FSB;E1;A;Base Bolig til tryk og eavis;FST 6. sektion;FSB;;FSBJFM0T2906161111028.pdf;FSBJFM0T2906161111028.pdf;;;
02.11.16;FSB;E2;A;Base Bolig til eavis;FST 6. sektion;BSB;;;FSBJFM0T290616E111028.pdf;FSB;;
;;;;;;;;;;;;
02.11.16;FSZ;E1;A;Gear til tryk og eavis;FST 5. sektion;FSZ;;FSZJFM0T2906161111028.pdf;FSZJFM0T2906161111028.pdf;;;JA
02.11.16;FSZ;E2;A;Gear til eavis;FST 5. sektion;ESZ;;;FSZJFM0T290616E111028.pdf;FSZ;;
;;;;;;;;;;;;
02.11.16;XBF;;;Business Fyn;FST Tillæg 3;XBF;;XBFJFM0S2906161111028.pdf;XBFJFM0S2906161111028.pdf;XBF;;
02.11.16;XEF;;;Erhvervsavisen Fyn;FST Tillæg 1;XEF;;XEFJFM0T2906161111028.pdf;XEFJFM0T2906161111028.pdf;XEF;;
02.11.16;XKO;;;Kommunetillæg fyn;FST Tillæg 3;XKO;;XKOJFM0S2906161111028.pdf;XKOJFM0S2906161111028.pdf;XKO;;
;XEB;E1;A;Byg og Nyt;JFM Tillæg;JFM Tillæg;;XEBJFM0T2906161111028.pdf;XEBJFM0T2906161111028.pdf;XEB;;
;XEL;E1;A;Landbrug i Danmark;JFM Tillæg;JFM Tillæg;;XELJFM0T2906161111028.pdf;XELJFM0T2906161111028.pdf;XEL;;
;XEV;E1;A;Fokus på Virksomheder;JFM Tillæg;JFM Tillæg;;XEVJFM0T2906161111028.pdf;XEVJFM0T2906161111028.pdf;XEV;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;JFD;E1;A;Danmarks sektionen FST;JFM Danmarks sekt.;AFD;JFM Danmarks sekt. Morgen;FSTJFM0T2906161114028.pdf;;;;JA
;JFD;E2;A;Danmarks sektionen AAS;JFM Danmarks sekt.;BFD;JFM Danmarks sekt. AAS;AASJFM0T2906162114028.pdf;;;;
;JFD;E3;A;Danmarks sektionen RAM;JFM Danmarks sekt.;CFD;JFM Danmarks sekt. RAM;RAMJFM0T2906162114028.pdf;;;;
;JFD;E4;A;Danmarks sektionen VSF DRS DHS;JFM Danmarks sekt.;DFD;JFM Danmarks sekt. HVR;DHSJFM0T2906162114028.pdf;;;Holstebro viborg ringkøbing aviser;
;JFD;E5;A;Danmarks sektionen JV;JFM Danmarks sekt.;EFD;JFM Danmarks sekt. JV;SDRJFM0T2906162114028.pdf;;;Ni JV udgaver;
;JFD;E6;A;Danmarks sektionen JYM;JFM Danmarks sekt.;FFD;JFM Danmarks sekt. JYM;HOFJFM0T2906162114028.pdf;;;Horsens Vejle Fredericia;
;JFD;E7;A;Danmarks sektionen FAA;JFM Danmarks sekt.;GFD;JFM Danmarks sekt. FAA;FAAJFM0T2906162114028.pdf;;;;
;;;;;;;;;;;;
02.11.16;DHA;E1;A - B;Dalum Hjallese Avis;DHA;DHA;;DHAJFM0T2906161111028.pdf;DHAJFM0T2906161111028.pdf;DHA;;JA
02.11.16;DH2;E1;A - B;Tillæg Dalum Hjallese Avis;DHA Tillæg;DHA;;DH2JFM0T2906161111028.pdf;DH2JFM0T2906161111028.pdf;DHA-S;;
02.11.16;DH4;E1;A - B;Tillæg Dalum Hjallese Avis Trimmet;DHA Tillæg;DHA;;DH4JFM0S2906161111028.pdf;DH4JFM0S2906161111028.pdf;DHA-S;;
02.11.16;DHQ;;;Dalum Hjallese Avis Øvrige Formater;;;;Ekstern tryk;DHQJFM0S2906161111028.pdf;DHA-S;;
02.11.16;KUA;E1;A - B;Kerteminde Ugeavis;KUA;KUA;;KUAJFM0T2906161111028.pdf;KUAJFM0T2906161111028.pdf;KUA;;JA
02.11.16;KU2;E1;A - B;Tillæg Kerteminde Ugeavis;KUA Tillæg;KUA;;KU2JFM0T2906161111028.pdf;KU2JFM0T2906161111028.pdf;KUA-S;;
02.11.16;KU4;E1;A - B;Tillæg Kerteminde Ugeavis Trimmet;KUA Tillæg;KUA;;KU4JFM0S2906161111028.pdf;KU4JFM0S2906161111028.pdf;KUA-S;;
02.11.16;KUQ;;;Kerteminde Ugeavis Øvrige Formater;;;;Ekstern tryk;KUQJFM0S2906161111028.pdf;KUA-S;;
02.11.16;LAA;E1;A - B;LokalAvisen Assens;LAA;LAA;;LAAJFM0T2906161111028.pdf;LAAJFM0T2906161111028.pdf;LAA;;JA
02.11.16;LA2;E1;A - B;Tillæg LokalAvisen Assens;LAA Tillæg;LAA;;LA2JFM0T2906161111028.pdf;LA2JFM0T2906161111028.pdf;LAA-S;;
02.11.16;LA4;E1;A - B;Tillæg LokalAvisen Assens Trimmet;LAA Tillæg;LAA;;LA4JFM0S2906161111028.pdf;LA4JFM0S2906161111028.pdf;LAA-S;;
02.11.16;LAQ;;;Lokalavisen Assens Øvrige Formater;;;;Ekstern tryk;LAQJFM0S2906161111028.pdf;LAA-S;;
02.11.16;LAN;E1;A - B;LokalAvisen Nyborg;LAN;LAN;;LANJFM0T2906161111028.pdf;LANJFM0T2906161111028.pdf;LAN;;JA
02.11.16;NY2;E1;A - B;Tillæg LokalAvisen Nyborg;LAN Tillæg;LAN;;NY2JFM0T2906161111028.pdf;NY2JFM0T2906161111028.pdf;LAN-S;;
02.11.16;NY4;E1;A - B;Tillæg LokalAvisen Nyborg Trimmet;LAN Tillæg;LAN;;NY4JFM0S2906161111028.pdf;NY4JFM0S2906161111028.pdf;LAN-S;;
02.11.16;NYQ;;;LokalAvisen Nyborg Øvrige Formater;;;;Ekstern tryk;LLQJFM0S2906161111028.pdf;LAN-S;;
02.11.16;LNV;E1;A - B;LokalAvisen Nordvest;LNV;LNV;;LNVJFM0T2906161111028.pdf;LNVJFM0T2906161111028.pdf;LNV;;
02.11.16;LN2;E1;A - B;Tillæg LokalAvisen Nordvest;LNV Tillæg;LNV;;LN2JFM0T2906161111028.pdf;LN2JFM0T2906161111028.pdf;LNV-S;;
02.11.16;LN4;E1;A - B;Tillæg LokalAvisen Nordvest Trimmet;LNV Tillæg;LNV;;LN4JFM0S2906161111028.pdf;LN4JFM0S2906161111028.pdf;LNV-S;;
02.11.16;LNQ;;;LokalAvisen Nordvest Øvrige Formater;;;;Ekstern tryk;LNQJFM0S2906161111028.pdf;LNV-S;;
02.11.16;LOJ;E1;A - B;Lokal Journalen;UAN;UAN;;UANJFM0T290616112028.pdf;UANJFM0T290616112028.pdf;UAN;;
02.11.16;LO2;E1;A - B;Tillæg Lokal Journalen;LOJ Tillæg;LOJ;;LO2JFM0T2906161111028.pdf;LO2JFM0T2906161111028.pdf;LOJ-S;;
02.11.16;LO4;E1;A - B;Tillæg Lokal Journalen Trimmet;LOJ Tillæg;LOJ;;LO4JFM0S2906161111028.pdf;LO4JFM0S2906161111028.pdf;LOJ-S;;
02.11.16;LOQ;;;Lokal Journalen Øvrige Formater;;;;Ekstern tryk;LOQJFM0S2906161111028.pdf;LOJ-S;;
02.11.16;MIP;E1;A - B;Midtfyns Posten;MIP;MIP;;MIPJFM0T2906161111028.pdf;MIPJFM0T2906161111028.pdf;MIP;;JA
02.11.16;MI2;E1;A - B;Tillæg Midtfyns Posten;MIP Tillæg;MIP;;MI2JFM0T2906161111028.pdf;MI2JFM0T2906161111028.pdf;MIP-S;;
02.11.16;MI4;E1;A - B;Tillæg Midtfyns Posten Trimmet;MIP Tillæg;MIP;;MI4JFM0S2906161111028.pdf;MI4JFM0S2906161111028.pdf;MIP-S;;
02.11.16;MIQ;;;Midtfyns Posten Øvrige Formater;;;;Ekstern tryk;MIQJFM0S2906161111028.pdf;MIP-S;;
02.11.16;MLF;E1;A - B;Melfar Posten;MLF;MLF;;MLFJFM0T2906161111028.pdf;MLFJFM0T2906161111028.pdf;MLF;;JA
02.11.16;ML2;E1;A - B;Tillæg Melfar Posten;MLF Tillæg;MLF;;ML2JFM0T2906161111028.pdf;ML2JFM0T2906161111028.pdf;MLF-S;;
02.11.16;ML4;E1;A - B;Tillæg Melfar Posten Trimmet;MLF Tillæg;MLF;;ML4JFM0S2906161111028.pdf;ML4JFM0S2906161111028.pdf;MLF-S;;
02.11.16;MLQ;;;Melfar Posten Øvrige Formater;;;;Ekstern tryk;MLQJFM0S2906161111028.pdf;MLF-S;;
02.11.16;POD;E1;A - B;Pindle Odense;POD;POD;Pindle;PODJFM0T2906161111028.pdf;PODJFM0T2906161111028.pdf;POD;;JA
02.11.16;SHA;E1;A - B;Skibhus Avisen;SHA;SHA;;SHAJFM0T2906161111028.pdf;SHAJFM0T2906161111028.pdf;SHA;;JA
02.11.16;SH2;E1;A - B;Tillæg Skibhus Avisen;SHA Tillæg;SHA;;SH2JFM0T2906161111028.pdf;SH2JFM0T2906161111028.pdf;SHA-S;;
02.11.16;SH4;E1;A - B;Tillæg Skibhus Avisen Trimmet;SHA Tillæg;SHA;;SH4JFM0S2906161111028.pdf;SH4JFM0S2906161111028.pdf;SHA-S;;
02.11.16;SHQ;;;Skibhus Avisen Øvrige Formater;;;;Ekstern tryk;SHQJFM0S2906161111028.pdf;SHA-S;;
02.11.16;UAF;E1;A - B;UgeAvisen Faaborg;UAF;UAF;;UAFJFM0T2906161111028.pdf;UAFJFM0T2906161111028.pdf;UAF;;JA
02.11.16;UA2;E1;A - B;Tillæg UgeAvisen Faaborg;UAF Tillæg;UAF;;UA2JFM0T2906161111028.pdf;UA2JFM0T2906161111028.pdf;UAF-S;;
02.11.16;UA4;E1;A - B;Tillæg UgeAvisen Faaborg Trimmet;UAF Tillæg;UAF;;UA4JFM0S2906161111028.pdf;UA4JFM0S2906161111028.pdf;UAF-S;;
02.11.16;UAQ;;;Ugeavisen Faaborg Øvrige Formater;;;;Ekstern tryk;UAQJFM0S2906161111028.pdf;UAF-S;;
02.11.16;UAL;E1;A - B;UgeAvisen Øboen;UAL;UAL;;UALJFM0T2906161111028.pdf;UALJFM0T2906161111028.pdf;UAL;;JA
02.11.16;UU2;E1;A - B;Tillæg UgeAvisen Øboen;UAL Tillæg;UAL;;UU2JFM0T2906161111028.pdf;UU2JFM0T2906161111028.pdf;UAL-S;;
02.11.16;UU4;E1;A - B;Tillæg UgeAvisen Øboen Trimmet;UAL Tillæg;UAL;;UU4JFM0S2906161111028.pdf;UU4JFM0S2906161111028.pdf;UAL-S;;
02.11.16;UUQ;;;Ugeavisen Øboen Øvrige Formater;;;;Ekstern tryk;UUQJFM0S2906161111028.pdf;UAL-S;;
02.11.16;UAN;E1;A - B;UgeAvisen Nordfyn;UAN;UAN;;UANJFM0T2906161111028.pdf;UANJFM0T2906161111028.pdf;UAN;;JA
02.11.16;UV2;E1;A - B;Tillæg UgeAvisen Nordfyn;UAN Tillæg;UAN;;UV2JFM0T2906161111028.pdf;UV2JFM0T2906161111028.pdf;UAN-S;;
02.11.16;UV4;E1;A - B;Tillæg UgeAvisen Nordfyn Trimmet;UAN Tillæg;UAN;;UV4JFM0S2906161111028.pdf;UV4JFM0S2906161111028.pdf;UAN-S;;
02.11.16;UVQ;;;Ugeavisen Nordfyn Øvrige Formater;;;;Ekstern tryk;UVQJFM0S2906161111028.pdf;UAN-S;;
02.11.16;UAO;E1;A - B;Ugeavisen Odense;UAO;UAO;;UAOJFM0T2906161111028.pdf;UAOJFM0T2906161111028.pdf;UAO;;JA
02.11.16;UX2;E1;A - B;Tillæg Ugeavisen Odense;UAO Tillæg;UAO;;UX2JFM0T2906161111028.pdf;UX2JFM0T2906161111028.pdf;UAO-S;;
02.11.16;UX4;E1;A - B;Tillæg Ugeavisen Odense Trimmet;UAO Tillæg;UAO;;UX4JFM0S2906161111028.pdf;UX4JFM0S2906161111028.pdf;UAO-S;;
02.11.16;UXQ;;;Ugeavisen Odense Øvrige Formater;;;;Ekstern tryk;UXQJFM0S2906161111028.pdf;UAO-S;;
02.11.16;UAS;E1;A - B;UgeAvisen Svendborg;UAS;UAS;;UASJFM0T2906161111028.pdf;UASJFM0T2906161111028.pdf;UAS;;JA
02.11.16;UY2;E1;A - B;Tillæg UgeAvisen Svendborg;UAS Tillæg;UAS;;UY2JFM0T2906161111028.pdf;UY2JFM0T2906161111028.pdf;UAS;;
02.11.16;UY4;E1;A - B;Tillæg UgeAvisen Svendborg Trimmet;UAS Tillæg;UAS;;UY4JFM0S2906161111028.pdf;UY4JFM0S2906161111028.pdf;UAS-S;;
02.11.16;UYQ;;;Ugeavisen Svendborg Øvrige Formater;;;;Ekstern tryk;UYQJFM0S2906161111028.pdf;UAS-S;;
02.11.16;UES;E1;A - B;Ugeavisen Esbjerg;UES;UES;;UESJFM0T2906161111028.pdf;UESJFM0T2906161111028.pdf;UES;;
02.11.16;UE2;E1;A - B;Tillæg Ugeavisen Esbjerg;UES Tillæg;UE2;;UE2JFM0T2906161111028.pdf;UE2JFM0T2906161111028.pdf;UES-S;;
02.11.16;UE4;E1;A - B;Tillæg Ugeavisen Esbjerg Trimmet;UES Tillæg;UE4;;UE4JFM0S2906161111028.pdf;UE4JFM0S2906161111028.pdf;UES-S;;
;UEB;E1;A;Esbjerg Boligavis;UES Tillæg;UES;;UEBJFM0S2906161111028.pdf;UEBJFM0S2906161111028.pdf;;;
02.11.16;XCA;E1;A;Cityavisen Esbjerg;EUS City;XCA;;XCAJFM0S2906161111028.pdf;XCAJFM0S2906161111028.pdf;UES-S;;
02.11.16;XVK;;;Erhvervsmagasin Vestkraft;;;;XVKJFM0S2906161111028.pdf;XVKJFM0S2906161111028.pdf;UES-S;;
02.11.16;UEQ;;;Ugeavisen Esbjerg Øvrige Formater;;;;Ekstern tryk;XCQJFM0S2906161111028.pdf;UES-S;;
;;;;;;;;;;;;
24.11.16;VSF;E1;A - I;Viborg Stifts Folkeblad;VSF 1. - 9. sektion;VSF;;VSFJFM0T2906161111028.pdf;VSFJFMET2906161111028.pdf;VSF;;
;B22;;;Tillæg Viborg Stifts Folkeblad;;;;;;;;
;B44;;;Trimmet tillæg Viborg Stifts Folkeblad;;;;;;;;
;;;;;;;;;;;;
24.11.16;RAM;E1;A - I;Randers Amtsavis;RAM 1. - 9. sektion;RAM;;RAMJFM0T2906161111028.pdf;RAMJFMET2906161111028.pdf;RAM;;
;M22;;;Tillæg Randers Amtsavis;;;;;;;;
;M44;;;Trimmet tillæg Randers Amtsavis;;;;;;;;
;;;;;;;;;;;;
24.11.16;AAS;E1;A - D;Aarhus Stiftstidende;AAS 1. - 9. sektion;AAS;;AASJFM0T2906161111028.pdf;AASJFMET2906161111028.pdf;AAS;;
;S22;;;Tillæg Aarhus Stiftstidende;;;;;;;;
;S44;;;Trimmet tillæg Aarhus Stiftstidende;AAS Tillæg 1;AAS;;S44JFM0T2906161111028.pdf;;;;
;;;;;;;;;;;;
24.11.16;DHS;E1;A - I;Dagbladet Holstebro;DHS 1. - 9. sektion;DHS;;DHSJFM0T290616H111028.pdf;DHSJFMET290616H111028.pdf;DHS;;
;D22;;;Tillæg Dagbladet Holstebro;;;;;;;;
;D44;;;Trimmet tillæg Dagbladet Holstebro;DHS Tillæg 1;DHS;;D44JFM0T290616H111028.pdf;;DHS-S;;
;;;;;;;;;;;;
24.11.16;DST;E1;A - I;Dagbladet Struer;DST 1. - 9. sektion;STR;;DHSJFM0T290616S111028.pdf;DSTJFMET290616S111028.pdf;DST;;
;U22;;;Tillæg Dagbladet Struer;;;;;;;;
;U44;;;Trimmet tillæg Dagbladet Struer;;;;;;;;
;;;;;;;;;;;;
24.11.16;LEF;E1;A - I;Folkebladet Lemvig (Master);LEF 1. - 9. sektion;LEF;;DHSJFM0T290616L111028.pdf;LEFJFMET290616L111028.pdf;LEF;;
;L22;;;Tillæg Lemvig Folkeblad;;;;;;;;
;L44;;;Trimmet tillæg Lemvig Folkeblad;;;;;;;;
;;;;;;;;;;;;
24.11.16;DRS;E1;A - I;Dagbladet Ringkøbing Skjern;DRS 1. - 9. sektion;DRS;Dagbladet Ringkøbing Skjern;DRSJFM0T290616D111028.pdf;DRSJFMET2906161111028.pdf;DRS;;
;G22;;;Tillæg Dagbladet Ringkøbing Skjern;;;;;;;;
;G44;;;Trimmet tillæg Dagbladet Ringkøbing Skjern;;;;;;;;
;ERI;E1;;Erhvervsmagasinet Ringkøbing;;DRS;Dagbladet Ringkøbing Skjern;ERIJFM0T290616D111028.pdf;;;;
;;;;;;;;;;;;
;TUF;E1 ;A;Fælles Turistavis i Holstebro, Struer og Lemvig;;;;TULJFM…1028.pdf og TUHJFM…;TULJFM…1028.pdf og TUHJFM…;;Skal være 1. sekt. I både TUL og TUH;
;TUR;E1 ;A;Turistavisupdate.dk;JFM Turist-update;TUR;;TURJFM0S2906161111028.pdf;TURJFM0S290616A11A028.pdf;;;
;TUH;E1 ;B;Turistavis i Hostebro og Struer;;;;TUHJFM0S2906161112028.pdf;TUHJFM0S290616A11B028.pdf;;;
;TUL;E1 ;B;Turistavis i Lemvig;;;;TULJFM0S2906161112028.pdf;TULJFM0S290616A11B028.pdf;;;
;TUD;E1 ;A;Turistavis i Djursland;;;;TUDJFM0S2906161111028.pdf;TUDJFM0S290616A11A028.pdf;;;
;TUU;E1 ;A;Turist Update Holstebro;;;;;;;;
;;;;;;;;;;;;
24.11.16;AAO;E1 ;A - B - I;Århus Onsdag;AAO;AAO;;AAOJFM0T290616A111028.pdf;AAOJFM0T290616A111028.pdf;AAO;;
24.11.16;AAO;E2;A - B - I;Århus Onsdag;AAO Nord;NAO;;AAOJFM0T290616N111028.pdf;;;;
24.11.16;AAO;E3;A - B - I;Århus Onsdag;AAO Syd;SAO;;AAOJFM0T290616S111028.pdf;;;;
24.11.16;AAO;E4;A - B -I;Århus Onsdag;AAO Vest;VAO;;AAOJFM0T290616V111028.pdf;;;;
;;;;;;;;;;;;
